id,name,name_local,category,latitude,longitude,address,ramp_present,step_free_entrance,accessible_restroom,tactile_paving,audio_signage,braille_signage,lighting_level,noise_level,staff_assistance_available,notes,photo_url,accessibility_status,updated_at,source
poi_001,"Chhatrapati Shivaji Maharaj Terminus","छत्रपती शिवाजी महाराज टर्मिनस",railway_station,18.9398,72.8355,"Dr. D N Road, Fort, Mumbai 400001",true,true,full,true,true,true,high,high,true,"Wheelchair assistance available at platform. Contact station master.",,accessible,2024-11-15T10:30:00Z,manual
poi_002,"Gateway of India","गेटवे ऑफ इंडिया",monument,18.9220,72.8347,"Apollo Bandar, Colaba, Mumbai 400001",false,false,none,false,false,false,high,medium,true,"Steps at entrance. Partial access via side route.",,partially_accessible,2024-11-10T14:20:00Z,user
poi_003,"Lilavati Hospital","लीलावती अस्पताल",hospital,19.0510,72.8287,"A-791, Bandra Reclamation, Bandra West, Mumbai 400050",true,true,full,true,false,true,high,low,true,"Fully accessible. Wheelchair available at entrance.",,accessible,2024-11-20T09:15:00Z,manual
poi_004,"Churchgate Station","चर्चगेट स्टेशन",railway_station,18.9352,72.8272,"Churchgate, Mumbai 400020",true,false,partial,true,true,false,high,high,true,"Ramps available but some platforms have steps.",,partially_accessible,2024-11-18T16:45:00Z,osm
poi_005,"Reserve Bank of India","भारतीय रिजर्व बैंक",bank,18.9315,72.8335,"Shahid Bhagat Singh Road, Fort, Mumbai 400001",true,true,full,false,false,false,high,low,true,"Main entrance fully accessible.",,accessible,2024-11-12T11:00:00Z,manual
poi_006,"Marine Drive Promenade","मरीन ड्राइव",public_space,18.9432,72.8235,"Marine Drive, Mumbai 400020",true,true,none,false,false,false,high,medium,false,"Flat walkway accessible. No public restrooms.",,partially_accessible,2024-11-08T18:30:00Z,user
poi_007,"Siddhivinayak Temple","सिद्धिविनायक मंदिर",religious,19.0169,72.8307,"SK Bole Marg, Prabhadevi, Mumbai 400028",true,false,partial,false,false,false,high,high,true,"Ramp available for main entrance. Crowded during peak hours.",,partially_accessible,2024-11-14T07:00:00Z,user
poi_008,"High Court of Bombay","बॉम्बे उच्च न्यायालय",govt_office,18.9279,72.8323,"Fort, Mumbai 400032",false,false,none,false,false,false,medium,low,true,"Historic building with limited accessibility. Staff can assist.",,not_accessible,2024-11-05T13:20:00Z,manual
poi_009,"Wankhede Stadium","वानखेडे स्टेडियम",sports,18.9389,72.8258,"D Road, Churchgate, Mumbai 400020",true,true,full,false,true,false,high,high,true,"Wheelchair seating available. Book accessible seats in advance.",,accessible,2024-11-22T15:00:00Z,manual
poi_010,"Bandra-Worli Sea Link Toll Plaza","बांद्रा-वर्ली सी लिंक टोल प्लाजा",transport,19.0280,72.8150,"Bandra-Worli Sea Link, Mumbai",false,true,none,false,false,false,high,high,true,"Vehicle-only. No pedestrian access.",,unknown,2024-10-30T12:00:00Z,osm
poi_011,"Phoenix Palladium Mall","फीनिक्स पैलेडियम मॉल",shopping,18.9945,72.8190,"462, Senapati Bapat Marg, Lower Parel, Mumbai 400013",true,true,full,true,false,true,high,medium,true,"Elevators on all floors. Wheelchair available at customer service.",,accessible,2024-11-25T10:00:00Z,manual
poi_012,"Juhu Beach","जुहू बीच",public_space,19.0948,72.8267,"Juhu, Mumbai 400049",false,true,none,false,false,false,medium,medium,false,"Sandy beach. Difficult wheelchair access on sand.",,not_accessible,2024-11-01T17:30:00Z,user
poi_013,"Tata Memorial Hospital","टाटा मेमोरियल अस्पताल",hospital,19.0049,72.8434,"Dr Ernest Borges Rd, Parel, Mumbai 400012",true,true,full,true,true,true,high,low,true,"Comprehensive accessibility features. Patient assistance desk at entrance.",,accessible,2024-11-23T08:00:00Z,manual
